+,#,+,-,+,-,+, ,+, ,+, ,+,-,+,-,+,-,+,-,+, , , ,+,-,+, ,+, ,+,-,+, ,+,-,+,-,+,-,+, ,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+, ,+, ,+, , , ,+, ,+, ,+, ,+,-,+,-,+, ,+,-,+, ,+,-,+, , , ,+, ,+, ,+,-,+,-,+, ,+,-,+, ,+, ,+,-,+, ,+,-,+, ,+, ,+, ,+, ,+,-,+,-,+,-,+,-,+, ,+,-,+, ,+, ,+, ,+, ,+, ,+, ,+, ,+,-,+,-,+,-,+,-,+,-,+,-,+, ,+, ,+,-,+, ,+,-,+, ,+, ,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+,-,+,-,+,-,+, ,+, , , ,+, ,+,-,+, ,+, ,+, ,+, ,+, ,+, ,+, ,+,-,+,-,+, ,+, ,+,-,+, ,+, ,+,-,+,-,+, ,+,-,+, ,+,-,+,-,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+, ,+, ,+, ,+, ,+, ,+
|,#,|,#,#,#,|, , , ,|, , , , , , , , , ,|, , , ,|, , , ,|, ,|, ,|, , , ,|, , , ,|, , , , , ,|, ,|, , , ,|, ,|, ,|, ,|, , , , , ,|, ,|, ,|, ,|, ,|, , , , , ,|, ,|, ,|, , , , , ,|, ,|, , , , , , , , , ,|, , , , , ,|, , , , , ,|, , , , , ,|, ,|, ,|, ,|, ,|, , , , , , , ,|, , , ,|, , , ,|, ,|, ,|, ,|, ,|, , , , , , , ,|, , , , , , , , , , , ,|, , , ,|, ,|, , , , , , , ,|, ,|, , , ,|, ,|, , , , , , , , , , , , , ,|, , , , , ,|, ,|, , , ,|, ,|, ,|, , , , , ,|, , , ,|, , , ,|, , , , , , , ,|, ,|, , , ,|, ,|, , , ,|, ,|, ,|, , , , , ,|, , , , , ,|, ,|, ,|, , , ,|, , , ,|, , , , , ,|, ,|, ,|, , , ,|, ,|
+,#,+,#,+,#,+,-,+,-,+,-,+, ,+,-,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+, ,+, ,+,-,+, ,+, ,+,-,+, ,+, ,+, ,+, ,+,-,+, ,+,-,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+, ,+,-,+,-,+, ,+,-,+,-,+,-,+, ,+, ,+, ,+,-,+, ,+,-,+, ,+,-,+,-,+,-,+, ,+, ,+, ,+, ,+, ,+, , , ,+,-,+, ,+, ,+,-,+, , , ,+, ,+, ,+, ,+, ,+, ,+,-,+, ,+,-,+, ,+,-,+, ,+, ,+,-,+,-,+, ,+,-,+, ,+,-,+,-,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+,-,+, ,+,-,+,-,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+, ,+, ,+,-,+,-,+, ,+,-,+,-,+, ,+,-,+,-,+,-,+,-,+,-,+, ,+,-,+, ,+, ,+,-,+,-,+, ,+, ,+,-,+,-,+, ,+, ,+,-,+, ,+,-,+, ,+,-,+,-,+, ,+,-,+,-,+,-,+,-,+, ,+, ,+,-,+, ,+, ,+
|,#,#,#,|,#, , , , , , ,|, , , , , ,|, , , ,|, , , ,|, , , ,|, , , ,|, ,|, , , ,|, ,|, , , , , , , ,|, , , ,|, ,|, ,|, , , ,|, ,|, , , , , , , ,|, ,|, ,|, , , ,|, ,|, , , , , , , , , ,|, ,|, , , ,|, , , , , , , , , ,|, , , , , , , ,|, ,|, ,|, ,|, ,|, , , , , ,|, ,|, , , ,|, ,|, , , ,|, ,|, , , ,|, ,|, , , , , ,|, , , , , ,|, ,|, ,|, , , ,|, , , , , ,|, , , ,|, , , ,|, , , , , , , , , , , , , ,|, , , , , , , , , ,|, ,|, , , ,|, ,|, ,|, , , , , ,|, , , ,|, , , ,|, , , ,|, ,|, , , ,|, , , , , ,|, , , , , , , , , ,|, , , ,|, , , ,|, , , , , , , , , , , , , , , ,|, , , , , , , , , , , , , , , ,|, ,|
+,-,+,-,+,#,+,-,+,-,+, ,+,-,+,-,+, ,+, ,+, ,+,-,+, ,+,-,+, ,+,-,+, ,+, ,+,-,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+,-,+,-,+,-,+,-,+, ,+, ,+, ,+,-,+,-,+,-,+, ,+,-,+, ,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+, ,+,-,+,-,+,-,+, ,+, ,+,-,+, ,+, ,+,-,+, ,+,-,+, ,+, ,+,-,+,-,+, ,+, ,+,-,+, ,+, ,+, ,+, , , ,+,-,+,-,+,-,+, ,+, ,+,-,+, ,+, ,+,-,+, ,+,-,+, ,+,-,+, ,+, , , ,+,-,+,-,+,-,+, ,+,-,+, ,+,-,+, ,+,-,+,-,+, ,+, ,+,-,+, ,+, ,+,-,+, ,+, ,+, ,+, ,+, ,+, , , ,+,-,+,-,+,-,+,-,+,-,+,-,+, ,+, ,+,-,+, ,+,-,+,-,+,-,+,-,+,-,+,-,+, ,+, ,+,-,+,-,+, ,+,-,+,-,+, ,+, ,+, ,+
|, ,|, , ,#,#,#,#,#,|, , , ,|, , , ,|, ,|, , , ,|, , , ,|, , , , , ,|, , , ,|, , , ,|, ,|, , , ,|, ,|, , , , , ,|, , , , , ,|, ,|, ,|, , , ,|, , , ,|, ,|, , , ,|, ,|, , , ,|, , , ,|, , , ,|, , , ,|, , , ,|, ,|, ,|, , , ,|, , , , , , , , , ,|, ,|, ,|, , , , , ,|, ,|, , , , , ,|, ,|, , , ,|, , , ,|, , , , , ,|, , , ,|, ,|, ,|, ,|, , , , , , , , , , , , , ,|, ,|, , , ,|, , , ,|, , , , , ,|, ,|, ,|, , , , , , , , , , , , , ,|, , , ,|, ,|, , , ,|, ,|, , , ,|, ,|, , , , , , , , , ,|, ,|, ,|, , , , , , , , , , , , , , , , , ,|, , , ,|, , , , , ,|, , , , , , , ,|, ,|, ,|, , , , , , , , , ,|, ,|, ,|, ,|
+, ,+, ,+, ,+,-,+,#,+,-,+, ,+,-,+,-,+, ,+, ,+,-,+,-,+, ,+,-,+, ,+, ,+, ,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+,-,+,-,+,-,+, ,+,-,+, ,+, ,+, ,+, ,+, ,+, , , ,+, ,+,-,+, ,+, ,+, ,+, ,+, ,+, ,+,-,+, ,+,-,+, ,+, , , ,+, ,+, ,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+, ,+, ,+, ,+, ,+, ,+, ,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+,-,+,-,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+, ,+,-,+,-,+,-,+,-,+,-,+,-,+, ,+, ,+,-,+,-,+, ,+,-,+,-,+, ,+, ,+, ,+,-,+,-,+, , , ,+,-,+, ,+,-,+,-,+, ,+, ,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+,-,+,-,+,-,+, ,+, ,+, ,+, ,+, ,+, ,+, ,+,-,+,-,+,-,+,-,+, ,+,-,+, ,+,-,+, ,+, ,+,-,+,-,+,-,+, ,+, ,+, ,+, ,+,-,+,-,+,-,+, ,+, ,+, ,+, ,+
|, , , ,|, ,|, ,|,#,#,#,|, , , , , , , ,|, , , , , ,|, , , ,|, ,|, , , ,|, , , ,|, ,|, ,|, , , , , , , ,|, , , , , ,|, , , ,|, ,|, ,|, ,|, , , , , , , ,|, ,|, ,|, , , ,|, ,|, ,|, , , ,|, ,|, ,|, , , , , , , , , ,|, , , , , ,|, , , , , , , ,|, ,|, ,|, ,|, ,|, , , , , ,|, , , ,|, ,|, , , ,|, ,|, , , , , ,|, ,|, , , , , , , ,|, , , , , , , , , ,|, , , ,|, , , ,|, ,|, , , , , ,|, , , , , ,|, , , ,|, , , ,|, , , , , ,|, , , ,|, , , ,|, , , ,|, , , ,|, ,|, , , ,|, , , , , , , ,|, ,|, , , , , ,|, ,|, ,|, , , , , , , , , , , , , , , ,|, , , ,|, , , , , , , ,|, , , , , ,|, , , , , , , ,|, , , ,|, , , ,|
+,-,+, ,+, ,+, ,+,-,+,#,+, ,+,-,+,-,+,-,+, ,+, ,+,-,+,-,+, ,+, ,+,-,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+,-,+, ,+,-,+,-,+,-,+, , , ,+, ,+, ,+, ,+, ,+,-,+,-,+,-,+, ,+, ,+,-,+, ,+, ,+, ,+, ,+, ,+, ,+, ,+,-,+,-,+,-,+,-,+,-,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+,-,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+,-,+,-,+, ,+, , , ,+,-,+,-,+, ,+,-,+, ,+, ,+,-,+,-,+, ,+,-,+,-,+, ,+,-,+,-,+,-,+, ,+, ,+, ,+,-,+,-,+,-,+,-,+, ,+, ,+,-,+, ,+, ,+, , , ,+, ,+,-,+,-,+, ,+, ,+,-,+, ,+, ,+, , , ,+, ,+, ,+, ,+,-,+,-,+,-,+,-,+, ,+,-,+,-,+, ,+, ,+,-,+, ,+,-,+,-,+, ,+,-,+,-,+, ,+, ,+,-,+, ,+, ,+,-,+, ,+,-,+, ,+
|, , , , , , , ,|, ,|,#,|, , , , , , , , , ,|, , , , , , , ,|, , , ,|, ,|, , , ,|, ,|, , , , , , , , , , , , , , , , , , , , , , , ,|, ,|, ,|, , , , , , , ,|, , , , , ,|, ,|, ,|, ,|, ,|, , , ,|, , , , , , , , , ,|, , , , , ,|, ,|, , , ,|, ,|, ,|, ,|, ,|, , , , , ,|, , , ,|, , , ,|, ,|, ,|, ,|, , , ,|, , , ,|, , , ,|, , , ,|, , , , , ,|, ,|, , , , , ,|, , , , , , , ,|, , , ,|, ,|, , , , , ,|, ,|, ,|, , , , , , , ,|, , , ,|, , , ,|, ,|, ,|, , , ,|, ,|, , , ,|, ,|, ,|, ,|, ,|, ,|, , , ,|, ,|, ,|, , , , , , , , , ,|, ,|, , , , , ,|, ,|, , , ,|, , , ,|, , , , , , , ,|, , , , , ,|, ,|, , , ,|, ,|, ,|
+, , , , , ,+, ,+, ,+,#,+,-,+,-,+,-,+,-,+, ,+, ,+,-,+,-,+,-,+, ,+, ,+, ,+, ,+,-,+, ,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+, , , ,+, ,+,-,+,-,+, ,+, ,+,-,+,-,+, ,+,-,+,-,+, ,+,-,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+, ,+, ,+, ,+, ,+, ,+,-,+, ,+, ,+, ,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+, ,+,-,+, ,+, ,+, ,+,-,+,-,+, ,+,-,+,-,+,-,+,-,+,-,+, ,+, ,+, ,+, ,+, ,+, ,+, ,+,-,+,-,+,-,+, ,+, ,+,-,+,-,+, ,+,-,+, ,+, ,+,-,+, ,+, , , ,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+, ,+, ,+,-,+,-,+,-,+,-,+, ,+, ,+, ,+,-,+,-,+, ,+,-,+,-,+, , , ,+,-,+, ,+,-,+,-,+, ,+,-,+,-,+, ,+, , , ,+, ,+, ,+
|, , , , , ,|, , , ,|,#,#,#,#,#,#,#,#,#, , ,|, , , , , ,|, , , ,|, , , ,|, ,|, , , , , , , , , , , , , , , , , , , , , ,|, , , ,|, , , ,|, , , , , , , ,|, , , ,|, , , ,|, , , ,|, ,|, ,|, ,|, , , ,|, ,|, , , ,|, ,|, ,|, , , , , ,|, ,|, ,|, , , ,|, , , ,|, ,|, ,|, , , ,|, , , ,|, ,|, , , , , , , ,|, , , ,|, , , ,|, , , ,|, , , ,|, ,|, ,|, , , , , ,|, , , , , , , , , , , , , ,|, ,|, ,|, ,|, ,|, ,|, , , ,|, , , ,|, , , ,|, , , ,|, , , ,|, ,|, , , , , , , , , ,|, , , ,|, , , , , , , ,|, , , ,|, , , , , , , , , ,|, ,|, ,|, ,|, , , , , , , , , ,|, , , ,|, , , ,|, , , ,|, , , ,|, , , ,|, , , , , ,|, ,|
+, ,+, ,+,-,+, ,+, ,+, ,+,-,+,-,+,-,+,#,+,-,+,-,+,-,+, ,+,-,+,-,+,-,+,-,+, ,+,-,+,-,+,-,+,-,+,-,+,-,+, , , ,+, , , ,+,-,+,-,+,-,+, ,+, ,+,-,+, ,+,-,+, ,+, ,+,-,+,-,+, ,+, , , ,+, ,+,-,+, ,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+,-,+,-,+, ,+, ,+, ,+,-,+,-,+, ,+,-,+, ,+,-,+, ,+,-,+,-,+,-,+, ,+, ,+,-,+, ,+,-,+, ,+, ,+, ,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+,-,+, , , ,+, ,+, ,+,-,+,-,+,-,+,-,+, ,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+,-,+,-,+,-,+,-,+, ,+, ,+,-,+, ,+,-,+,-,+,-,+,-,+, ,+,-,+,-,+,-,+,-,+, ,+, ,+, ,+, ,+,-,+,-,+,-,+,-,+, ,+,-,+, ,+, ,+, ,+, ,+, ,+,-,+,-,+, ,+,-,+, ,+, ,+,-,+, ,+
|, ,|, ,|, , , ,|, ,|, ,|, , , , , ,|,#,|,#,#,#,#,#,|, , , , , , , , , ,|, , , , , , , , , ,|, , , ,|, , , ,|, , , , , ,|, , , , , ,|, ,|, , , , , , , ,|, , , , , ,|, ,|, , , ,|, , , , , ,|, ,|, , , ,|, ,|, , , ,|, ,|, , , ,|, , , ,|, ,|, , , , , , , , , ,|, , , ,|, , , , , , , , , ,|, , , ,|, , , ,|, , , ,|, , , , , ,|, ,|, ,|, ,|, ,|, ,|, , , , , ,|, , , ,|, , , ,|, , , ,|, , , , , ,|, ,|, , , ,|, ,|, , , , , , , ,|, ,|, ,|, , , ,|, , , ,|, , , , , ,|, , , ,|, , , ,|, , , ,|, , , ,|, , , ,|, , , , , ,|, ,|, , , ,|, , , , , , , , , ,|, ,|, , , , , ,|, , , ,|, , , , , , , ,|, , , ,|, ,|, , , ,|
+, ,+, ,+,-,+,-,+, ,+, ,+, ,+,-,+, ,+,#,+,#,+, ,+,#,+,-,+, , , ,+, , , ,+,-,+, ,+, ,+,-,+, ,+, ,+,-,+,-,+,-,+, ,+,-,+, ,+, ,+,-,+,-,+, ,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+,-,+,-,+, ,+, ,+,-,+, ,+,-,+, ,+, ,+, ,+, ,+, ,+, ,+, ,+, ,+,-,+, , , ,+, ,+, ,+,-,+, ,+, ,+,-,+,-,+, ,+,-,+, ,+, ,+,-,+,-,+,-,+,-,+,-,+, ,+, ,+, ,+, ,+, ,+, ,+, ,+,-,+,-,+, ,+, ,+, ,+, ,+, ,+,-,+,-,+, ,+,-,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+, ,+, ,+,-,+, ,+,-,+,-,+, ,+,-,+, ,+, ,+, ,+, ,+,-,+, ,+, , , ,+, ,+, ,+, ,+, ,+,-,+, , , ,+,-,+, ,+, ,+, ,+,-,+,-,+, ,+,-,+,-,+,-,+, ,+,-,+,-,+,-,+, ,+, ,+,-,+
|, ,|, , , , , ,|, ,|, ,|, ,|, ,|, , ,#,#,#,|, ,|,#, , ,|, , , ,|, , , , , ,|, ,|, , , ,|, ,|, ,|, , , , , , , ,|, ,|, ,|, ,|, , , ,|, ,|, ,|, , , ,|, ,|, ,|, ,|, , , ,|, ,|, ,|, ,|, , , , , ,|, , , ,|, , , ,|, , , ,|, ,|, ,|, ,|, ,|, ,|, , , , , , , ,|, , , ,|, , , ,|, , , , , ,|, , , ,|, , , , , , , , , , , , , ,|, ,|, ,|, , , ,|, ,|, ,|, ,|, , , , , ,|, ,|, ,|, ,|, , , , , , , , , ,|, ,|, , , , , ,|, , , ,|, ,|, , , ,|, , , ,|, , , ,|, , , ,|, , , , , , , , , , , ,|, ,|, , , ,|, , , ,|, , , , , ,|, ,|, , , ,|, ,|, , , , , , , , , , , ,|, ,|, , , , , ,|, , , , , , , ,|, , , , , , , ,|, ,|, ,|
